Ticker,Model,Year,S0,Probability Up,Predicted,Actual,Actual Return (%),APE (%),VaR (%),ES (%),Lower CI,Upper CI
AAPL,GARCH,2016,24.403898239135742,0.8722,38.33436514520668,23.66843605041504,-3.013707816324468,61.964081883367484,-16.306712327964867,-27.785799617225067,20.424424756470593,64.01210546804687
AAPL,GARCH,2017,23.66843605041504,0.8115,33.56475471777271,26.622358322143555,12.480428641066535,26.077315584227218,-23.744403786500254,-33.47288972026926,18.0485070246549,55.131243692173115
AAPL,GARCH,2018,26.622358322143555,0.8226,37.454590455112125,39.52470397949219,48.464322736640916,5.237518098691296,-20.134228754656192,-29.941130623886032,21.26215179767892,59.97333225482079
AAPL,GARCH,2019,39.52470397949219,0.7988,52.53075809978163,37.39424133300781,-5.3902051931616946,40.47820259803706,-21.065026347620723,-29.666910959635473,31.198814672393063,81.48315901382799
AAPL,GARCH,2020,37.39424133300781,0.8664,52.23274529756454,70.65934753417969,88.95783151457827,26.078081498986016,-13.064510012386316,-22.336217085192533,32.508866930001105,78.61434576433062
AAPL,GARCH,2021,70.65934753417969,0.8475,96.01698779016216,128.81675720214844,82.30674595436443,25.46234676635629,-14.631419362384591,-23.63342523664835,60.3208820777291,143.92248787381064
AAPL,GARCH,2022,128.81675720214844,0.8509,181.1907639035856,173.44943237304688,34.64819029783342,4.463163369649454,-16.53380533552477,-25.882478624561543,107.51844532680963,281.5759222019527
AAPL,GARCH,2023,173.44943237304688,0.8566,244.20593615937517,127.6515121459961,-26.40419146979436,91.30673194068771,-15.2351157019142,-25.39254822983989,147.02421066669976,375.61283572977754
AAPL,GARCH,2024,127.6515121459961,0.8028,170.7824657836379,190.21102905273438,49.00805000663716,10.214214899026745,-21.02846784820435,-30.406067095022994,100.80835495662863,265.5089546709259
AAPL,GARCH,2025,190.21102905273438,0.8476,262.4831988757468,248.61578369140625,30.70524087353508,5.577849876801637,-15.997288416279416,-24.917132234409475,159.78242213559543,400.86552005753435
AAPL,GBM,2016,24.403898239135742,0.8225,35.9098055663316,23.66843605041504,-3.013707816324468,51.72022980243302,-22.01095213332094,-32.21779747605588,19.032367879055222,59.987654323304355
AAPL,GBM,2017,23.66843605041504,0.7616,31.973872491867652,26.622358322143555,12.480428641066535,20.101578173384038,-27.064450588321826,-36.40809207337065,17.26270387052191,53.04345969980439
AAPL,GBM,2018,26.622358322143555,0.7662,35.64363136752072,39.52470397949219,48.464322736640916,9.81935908738293,-25.304084840285746,-34.13581451450165,19.885814185823477,58.07389445038187
AAPL,GBM,2019,39.52470397949219,0.7268,50.12519430115222,37.39424133300781,-5.3902051931616946,34.045223313320236,-27.5445037350904,-36.159154746938746,28.637820415577536,79.90292073799677
AAPL,GBM,2020,37.39424133300781,0.8391,50.15097744825549,70.65934753417969,88.95783151457827,29.024284544948266,-16.314641603853,-24.535358828494882,31.293504879047724,74.42093060127478
AAPL,GBM,2021,70.65934753417969,0.8171,92.81754441972167,128.81675720214844,82.30674595436443,27.946063512477835,-17.273174723790845,-25.185816919932396,58.45423497591023,137.7778835680452
