Training,Test,Starting Price,Predicted Mean,Actual Price,Absolute Error,Percentage Error
2005-01-01 -> 2015-01-01,2016-01-01,24.42495346069336,35.870119480351356,23.6888484954834,12.181270984867957,51.421963322491095
2006-01-01 -> 2016-01-01,2017-01-01,23.6888484954834,31.856856012934724,26.645320892333984,5.21153512060074,19.558912957584717
2007-01-01 -> 2017-01-01,2018-01-01,26.645320892333984,35.77786584363145,39.55877685546875,3.780911011837297,9.55770454089409
2008-01-01 -> 2018-01-01,2019-01-01,39.55877685546875,50.03820440795244,37.426509857177734,12.611694550774708,33.69722316855578
2009-01-01 -> 2019-01-01,2020-01-01,37.426509857177734,50.244377062296444,70.72030639648438,20.47592933418793,28.95339454469024
2010-01-01 -> 2020-01-01,2021-01-01,70.72030639648438,93.28451297137269,128.9278564453125,35.64334347393981,27.645959885371003
2011-01-01 -> 2021-01-01,2022-01-01,128.9278564453125,173.41128769851025,173.5989990234375,0.18771132492724973,0.10812926686397942
2012-01-01 -> 2022-01-01,2023-01-01,173.5989990234375,237.6501936739994,127.7615966796875,109.88859699431191,86.01066349367473
2013-01-01 -> 2023-01-01,2024-01-01,127.7615966796875,162.95143552178556,190.3750457763672,27.423610254581632,14.4050446016943
2014-01-01 -> 2024-01-01,2025-01-01,190.3750457763672,253.9790825368231,248.83021545410156,5.1488670827215515,2.069229041708279
